epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.9505,1.32583,1.2711,0.86591,0.67826,0.26273,0.30392,0.21022,1.0245,1.17439,0.96191,0.000234096,0.000234096,0.000234096
43,43.8448,1.39247,1.31311,0.8769,0.67828,0.26159,0.30912,0.21309,1.00803,1.20088,0.96182,0.000233854,0.000233854,0.000233854
44,44.8479,1.41502,1.24117,0.87523,0.62756,0.29229,0.32292,0.22506,1.025,1.20936,0.96198,0.000233613,0.000233613,0.000233613
45,45.7753,1.51358,1.3309,0.88014,0.62464,0.30698,0.33321,0.22561,1.06623,1.18785,0.96435,0.000233371,0.000233371,0.000233371
46,46.7549,1.45723,1.29356,0.87903,0.61076,0.3151,0.33186,0.22599,1.06108,1.11435,0.96675,0.00023313,0.00023313,0.00023313
47,47.7208,1.46539,1.27377,0.8734,0.61112,0.32481,0.33857,0.23103,0.99892,1.07917,0.96277,0.000232888,0.000232888,0.000232888
48,48.632,1.41249,1.24372,0.8749,0.63262,0.32239,0.34922,0.24076,0.99897,1.04514,0.95596,0.000232647,0.000232647,0.000232647
49,49.5682,1.4922,1.25104,0.8816,0.63043,0.3187,0.35045,0.23991,0.98452,1.03273,0.95583,0.000232405,0.000232405,0.000232405
50,50.5037,1.48215,1.22069,0.87119,0.65271,0.32274,0.34976,0.23609,1.12556,1.07321,0.96754,0.000232164,0.000232164,0.000232164
51,51.4308,1.38081,1.12,0.86841,0.67322,0.3213,0.35422,0.24241,1.07287,1.08247,0.96581,0.000231922,0.000231922,0.000231922
52,52.383,1.3056,1.08866,0.86756,0.72008,0.31538,0.38407,0.26146,0.98177,1.03985,0.95252,0.00023168,0.00023168,0.00023168
53,53.2815,1.36251,1.08116,0.866,0.74043,0.31908,0.3881,0.26289,0.98891,0.99747,0.95207,0.000231439,0.000231439,0.000231439
54,54.3008,1.42873,1.0935,0.86569,0.66933,0.35316,0.39315,0.25706,1.06068,0.96299,0.95788,0.000231197,0.000231197,0.000231197
55,55.1892,1.38297,1.16142,0.85887,0.67174,0.37606,0.40526,0.26869,1.01949,0.94179,0.95753,0.000230956,0.000230956,0.000230956
56,56.1215,1.30791,1.04815,0.86518,0.76064,0.36511,0.42188,0.28486,0.97804,0.92276,0.94862,0.000230714,0.000230714,0.000230714
57,57.0462,1.4246,1.10961,0.86605,0.75616,0.3594,0.41724,0.28388,0.98925,0.94592,0.94775,0.000230473,0.000230473,0.000230473
58,57.9657,1.56915,1.15695,0.88548,0.72619,0.38181,0.41067,0.27276,1.01958,0.93159,0.95234,0.000230231,0.000230231,0.000230231
59,58.9031,1.3987,1.06567,0.86529,0.72607,0.38629,0.41155,0.27109,1.05245,0.94261,0.96032,0.00022999,0.00022999,0.00022999
60,59.901,1.34792,0.99858,0.86519,0.74419,0.38041,0.41857,0.28123,0.98273,0.92259,0.95359,0.000229748,0.000229748,0.000229748
61,60.7899,1.28893,1.01617,0.86424,0.73101,0.37949,0.42135,0.28567,0.93169,0.92762,0.94605,0.000229506,0.000229506,0.000229506
62,61.739,1.302,1.06359,0.86087,0.74943,0.38006,0.42451,0.28469,0.90829,0.88472,0.94122,0.000229265,0.000229265,0.000229265
63,62.6307,1.29256,1.05244,0.85994,0.74481,0.39218,0.43546,0.29775,0.8836,0.8549,0.94119,0.000229023,0.000229023,0.000229023
64,63.5817,1.33443,0.99109,0.85843,0.74401,0.41563,0.4478,0.30322,0.93406,0.86549,0.94558,0.000228782,0.000228782,0.000228782
65,64.504,1.32403,1.02159,0.86986,0.75499,0.39891,0.44847,0.30229,0.95902,0.87197,0.94517,0.00022854,0.00022854,0.00022854
66,66.9583,1.26939,0.99412,0.8631,0.76002,0.39467,0.44328,0.2935,0.90457,0.81248,0.94183,0.000228299,0.000228299,0.000228299
67,67.8894,1.19547,0.97716,0.86174,0.73705,0.39596,0.44824,0.2967,0.90832,0.81023,0.94271,0.000228057,0.000228057,0.000228057
68,68.7951,1.33937,1.03262,0.86425,0.75654,0.4064,0.45133,0.30379,0.99279,0.85101,0.94806,0.000227815,0.000227815,0.000227815
69,69.7505,1.33371,0.96464,0.85624,0.74281,0.41639,0.45781,0.31507,0.93484,0.85858,0.94854,0.000227574,0.000227574,0.000227574
70,70.687,1.27937,0.9629,0.85823,0.71965,0.42296,0.46504,0.31902,0.90597,0.80445,0.94621,0.000227332,0.000227332,0.000227332
71,71.5924,1.2662,0.93053,0.86362,0.71003,0.43739,0.46478,0.31354,0.88343,0.77999,0.94271,0.000227091,0.000227091,0.000227091
72,72.5684,1.21536,0.90175,0.85025,0.73121,0.44267,0.47816,0.32338,0.89406,0.75269,0.94297,0.000226849,0.000226849,0.000226849
73,73.4758,1.20797,0.95792,0.85715,0.75497,0.44126,0.48521,0.33262,0.88265,0.76952,0.94607,0.000226608,0.000226608,0.000226608
74,74.4222,1.24093,0.88409,0.84703,0.78771,0.45085,0.49859,0.34062,0.87311,0.74831,0.94243,0.000226366,0.000226366,0.000226366
75,75.3603,1.24524,0.94087,0.85182,0.78622,0.44544,0.49036,0.32951,0.91135,0.75127,0.9416,0.000226125,0.000226125,0.000226125
76,76.2646,1.22908,0.93328,0.85874,0.79483,0.45839,0.49969,0.33633,0.86188,0.71667,0.94091,0.000225883,0.000225883,0.000225883
77,77.1741,1.25533,0.89153,0.85017,0.81249,0.45814,0.50641,0.34834,0.8424,0.69875,0.94046,0.000225641,0.000225641,0.000225641
78,78.1687,1.16501,0.88849,0.85985,0.8159,0.46518,0.51664,0.35802,0.86091,0.70943,0.93873,0.0002254,0.0002254,0.0002254
79,79.0987,1.20622,0.89808,0.85626,0.83006,0.46658,0.52726,0.36284,0.84196,0.71845,0.93806,0.000225158,0.000225158,0.000225158
80,80.0502,1.21849,0.84679,0.84694,0.79772,0.46984,0.53096,0.36646,0.88602,0.72234,0.93774,0.000224917,0.000224917,0.000224917
81,80.9686,1.21561,0.88189,0.85504,0.80845,0.46532,0.52648,0.35485,0.86171,0.69346,0.93939,0.000224675,0.000224675,0.000224675
82,81.896,1.24421,0.86954,0.85595,0.81754,0.46453,0.53984,0.3581,0.83124,0.66316,0.93779,0.000224434,0.000224434,0.000224434
83,82.7906,1.29652,0.89345,0.84781,0.79928,0.48241,0.53991,0.35552,0.87866,0.65825,0.93675,0.000224192,0.000224192,0.000224192
84,83.7841,1.1975,0.87362,0.85916,0.80187,0.46643,0.53101,0.35215,0.86985,0.67756,0.94034,0.000223951,0.000223951,0.000223951
85,84.6928,1.14438,0.83344,0.85351,0.80801,0.47035,0.52276,0.35283,0.84059,0.68081,0.93774,0.000223709,0.000223709,0.000223709
86,85.614,1.13541,0.81967,0.85816,0.83534,0.46779,0.51964,0.34575,0.89988,0.69453,0.93653,0.000223467,0.000223467,0.000223467
87,86.5378,1.18271,0.83598,0.84239,0.81099,0.49766,0.52659,0.35276,0.83933,0.69695,0.93558,0.000223226,0.000223226,0.000223226
88,87.444,1.17895,0.8475,0.84775,0.81947,0.48721,0.5341,0.36093,0.88761,0.69486,0.93582,0.000222984,0.000222984,0.000222984
89,88.3249,1.16508,0.82294,0.84985,0.8309,0.48823,0.54748,0.37172,0.9013,0.67716,0.9337,0.000222743,0.000222743,0.000222743
90,89.3404,1.20764,0.82375,0.84169,0.83188,0.48759,0.55082,0.37914,0.85112,0.65569,0.9336,0.000222501,0.000222501,0.000222501
91,90.2469,1.14158,0.81767,0.83966,0.82471,0.47943,0.54975,0.37368,0.93622,0.67024,0.93698,0.00022226,0.00022226,0.00022226
92,91.1863,1.17701,0.83044,0.85673,0.83039,0.4917,0.54032,0.37513,0.84589,0.63406,0.93331,0.000222018,0.000222018,0.000222018
93,92.0914,1.15312,0.78642,0.83827,0.80073,0.50209,0.53818,0.38189,0.82067,0.64803,0.9349,0.000221776,0.000221776,0.000221776
94,93.0229,1.16384,0.80631,0.84493,0.80374,0.49374,0.54358,0.38325,0.88742,0.65873,0.93841,0.000221535,0.000221535,0.000221535
95,93.9488,1.14239,0.77137,0.83929,0.81221,0.49675,0.54541,0.38439,0.86697,0.66219,0.93562,0.000221293,0.000221293,0.000221293
96,94.9463,1.14383,0.80759,0.84485,0.82459,0.49054,0.55622,0.39069,0.77331,0.64546,0.93101,0.000221052,0.000221052,0.000221052
97,95.8872,1.10956,0.78548,0.84619,0.83091,0.48202,0.55805,0.38379,0.78471,0.64556,0.9288,0.00022081,0.00022081,0.00022081
98,96.799,1.13486,0.76191,0.84521,0.83717,0.48548,0.5584,0.38076,0.86358,0.64057,0.93042,0.000220569,0.000220569,0.000220569
99,97.6817,1.09762,0.77583,0.83966,0.82449,0.49943,0.57559,0.39013,0.83148,0.62593,0.92726,0.000220327,0.000220327,0.000220327
100,100.02,1.17871,0.799,0.84674,0.80626,0.51458,0.57139,0.39536,0.81499,0.60815,0.92175,0.000220086,0.000220086,0.000220086
101,100.962,1.1638,0.81667,0.84924,0.79673,0.50829,0.55426,0.3905,0.81472,0.61255,0.92236,0.000219844,0.000219844,0.000219844
102,102.02,1.15953,0.78793,0.84459,0.81912,0.49244,0.55732,0.38538,0.82847,0.6081,0.92437,0.000219602,0.000219602,0.000219602
103,102.994,1.12658,0.81525,0.849,0.85406,0.47973,0.56913,0.38783,0.82912,0.60286,0.92683,0.000219361,0.000219361,0.000219361
104,104.057,1.14236,0.74062,0.84757,0.84793,0.48686,0.57639,0.39255,0.8526,0.61048,0.93032,0.000219119,0.000219119,0.000219119
105,105.206,1.0916,0.75966,0.83303,0.85065,0.49045,0.57796,0.3981,0.86074,0.61831,0.9289,0.000218878,0.000218878,0.000218878
106,106.319,1.181,0.76496,0.84094,0.83888,0.50614,0.58734,0.40878,0.86008,0.63203,0.93002,0.000218636,0.000218636,0.000218636
107,107.405,1.07413,0.75148,0.84026,0.84178,0.49149,0.57953,0.40496,0.85009,0.63534,0.9294,0.000218395,0.000218395,0.000218395
108,108.566,1.14777,0.75102,0.83997,0.82024,0.51166,0.59197,0.41158,0.82166,0.6442,0.92705,0.000218153,0.000218153,0.000218153
109,109.73,1.07452,0.74662,0.84496,0.84439,0.50657,0.59196,0.40955,0.82441,0.64671,0.92869,0.000217912,0.000217912,0.000217912
110,110.848,1.1375,0.73976,0.84623,0.85547,0.52232,0.59963,0.42198,0.82655,0.64435,0.92699,0.00021767,0.00021767,0.00021767
111,111.911,1.10632,0.74612,0.84681,0.85745,0.52581,0.60312,0.42095,0.82422,0.62133,0.92445,0.000217428,0.000217428,0.000217428
112,112.946,1.179,0.7775,0.84778,0.8571,0.53467,0.60593,0.42476,0.79224,0.58463,0.92448,0.000217187,0.000217187,0.000217187
113,114.012,1.1005,0.7408,0.84258,0.85053,0.5307,0.60569,0.41979,0.80158,0.58309,0.92648,0.000216945,0.000216945,0.000216945
114,115.149,1.09016,0.75389,0.83962,0.84391,0.52654,0.59643,0.41446,0.79626,0.59155,0.92802,0.000216704,0.000216704,0.000216704
115,116.295,1.11654,0.73607,0.83918,0.82605,0.53617,0.60867,0.42757,0.80204,0.58087,0.92798,0.000216462,0.000216462,0.000216462
116,117.34,1.12408,0.76853,0.83848,0.82937,0.53176,0.61258,0.42835,0.78959,0.57044,0.92656,0.000216221,0.000216221,0.000216221
117,118.405,1.06118,0.71426,0.83803,0.85736,0.51117,0.6288,0.44489,0.7999,0.57847,0.92535,0.000215979,0.000215979,0.000215979
118,119.43,1.17987,0.75929,0.84371,0.8536,0.5099,0.62174,0.44465,0.78797,0.57839,0.92573,0.000215737,0.000215737,0.000215737
119,120.48,1.07745,0.74976,0.82819,0.83366,0.52307,0.60359,0.42511,0.80866,0.58929,0.92611,0.000215496,0.000215496,0.000215496
120,121.608,1.13767,0.73227,0.84459,0.81829,0.53932,0.6166,0.43529,0.78146,0.57617,0.91822,0.000215254,0.000215254,0.000215254
121,122.605,1.09005,0.72461,0.83209,0.81417,0.54057,0.607,0.43019,0.80092,0.58565,0.91599,0.000215013,0.000215013,0.000215013
122,123.653,1.03422,0.68906,0.83115,0.80299,0.54752,0.59925,0.42249,0.80972,0.60043,0.92108,0.000214771,0.000214771,0.000214771
123,124.653,1.16071,0.72506,0.83998,0.83087,0.52358,0.61704,0.43602,0.79426,0.58347,0.9173,0.00021453,0.00021453,0.00021453
124,125.727,1.04487,0.69411,0.84481,0.84072,0.53106,0.62647,0.44133,0.81961,0.58765,0.91978,0.000214288,0.000214288,0.000214288
125,126.757,1.06313,0.7068,0.84872,0.83375,0.53414,0.62198,0.43751,0.82233,0.5851,0.91992,0.000214047,0.000214047,0.000214047
126,127.864,1.04002,0.72286,0.84363,0.83927,0.53045,0.62686,0.4407,0.78035,0.58873,0.91534,0.000213805,0.000213805,0.000213805
127,128.842,1.05292,0.70505,0.84083,0.84146,0.52853,0.62859,0.44103,0.82448,0.5748,0.91802,0.000213563,0.000213563,0.000213563
128,129.906,1.02606,0.7034,0.84069,0.86104,0.51506,0.62671,0.4413,0.79589,0.56856,0.92584,0.000213322,0.000213322,0.000213322
129,130.931,1.09501,0.72614,0.84048,0.8553,0.52173,0.63187,0.4568,0.7837,0.56975,0.9202,0.00021308,0.00021308,0.00021308
130,132.099,1.09956,0.70983,0.83422,0.85229,0.52816,0.6409,0.45716,0.80678,0.57503,0.91856,0.000212839,0.000212839,0.000212839
131,134.608,1.02925,0.71701,0.83581,0.8506,0.52466,0.61598,0.43195,0.78472,0.58208,0.92367,0.000212597,0.000212597,0.000212597
132,135.733,1.08164,0.72824,0.84772,0.85946,0.50942,0.62544,0.4503,0.78423,0.58081,0.91681,0.000212356,0.000212356,0.000212356
133,136.723,1.04163,0.67594,0.84462,0.84033,0.52023,0.62389,0.44708,0.81186,0.58504,0.9158,0.000212114,0.000212114,0.000212114
134,137.727,1.02922,0.69537,0.83723,0.84114,0.51411,0.60347,0.42512,0.82002,0.59557,0.92718,0.000211873,0.000211873,0.000211873
135,138.732,1.03893,0.70222,0.83343,0.84668,0.52197,0.61691,0.43143,0.78823,0.59531,0.92199,0.000211631,0.000211631,0.000211631
