epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2534.82,0.31729,0.24248,0.79408,0.99732,0.99003,0.99472,0.98349,0.18647,0.16521,0.76682,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2615.24,0.31423,0.24164,0.79374,0.99715,0.99082,0.99478,0.98308,0.18689,0.16485,0.76651,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2692.08,0.31066,0.23791,0.7932,0.99683,0.99039,0.99476,0.98363,0.18475,0.16443,0.76684,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2768.99,0.30955,0.23778,0.79331,0.99666,0.9905,0.99471,0.98421,0.18333,0.16159,0.7663,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2845.89,0.30557,0.23296,0.79246,0.99716,0.99079,0.99467,0.98484,0.1761,0.15828,0.76489,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2922.7,0.30453,0.23301,0.7925,0.99674,0.99135,0.99473,0.98418,0.18375,0.16008,0.76615,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2999.58,0.30037,0.23035,0.79208,0.99729,0.99043,0.99478,0.98548,0.17092,0.15533,0.76446,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3079.96,0.30179,0.23052,0.79175,0.99694,0.99097,0.99483,0.98468,0.17835,0.15754,0.76529,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3156.69,0.29637,0.22786,0.79126,0.99692,0.98581,0.99382,0.98352,0.17475,0.15461,0.76462,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3233.45,0.2965,0.22645,0.79143,0.99697,0.99064,0.9947,0.986,0.16944,0.15209,0.76367,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3310.4,0.29491,0.22554,0.79065,0.99664,0.99106,0.99481,0.98611,0.16873,0.15104,0.76348,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3387.28,0.29181,0.22301,0.791,0.99682,0.99115,0.99476,0.98712,0.16159,0.1474,0.76233,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3464.1,0.28986,0.22243,0.79105,0.99691,0.99157,0.99483,0.98604,0.17043,0.15007,0.76369,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3546.14,0.28958,0.2218,0.79019,0.99732,0.99081,0.99464,0.98664,0.1651,0.14881,0.76267,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3625.47,0.28685,0.22088,0.78988,0.9979,0.99057,0.99472,0.98673,0.16335,0.147,0.76238,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3703.91,0.28533,0.21894,0.78938,0.99688,0.99158,0.99479,0.9868,0.16711,0.1476,0.76297,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3782.79,0.28348,0.21676,0.78995,0.99696,0.99215,0.99484,0.98694,0.16252,0.14506,0.76254,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
