epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,94.9794,0.85721,2.85787,0.91286,0.95542,0.92124,0.96288,0.8399,0.53796,0.70756,0.83766,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332
2,173.549,0.69589,0.74907,0.86541,0.98357,0.96506,0.98699,0.85647,0.54556,0.50427,0.83599,0.0198612,0.0066204,0.0198612,0.0066204,0.0198612,0.0066204,0.0198612,0.0066204
3,244.719,0.69628,0.65239,0.86822,0.98443,0.96843,0.98863,0.87979,0.47474,0.45782,0.83009,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878
4,316.181,0.62867,0.5753,0.857,0.98826,0.97132,0.98993,0.9022,0.42034,0.40026,0.81623,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,388.503,0.55925,0.50186,0.84221,0.99131,0.97818,0.99212,0.91869,0.39288,0.34148,0.80495,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,461.537,0.51477,0.45449,0.83262,0.9934,0.98005,0.9927,0.93924,0.32791,0.30305,0.79666,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,535.088,0.48927,0.41967,0.8261,0.99341,0.98023,0.99346,0.94293,0.32186,0.29003,0.79286,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,608.263,0.4665,0.39284,0.82119,0.99236,0.98436,0.99381,0.94719,0.311,0.27502,0.78845,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,681.621,0.44721,0.37105,0.81819,0.99418,0.98283,0.9938,0.9498,0.30376,0.26354,0.7882,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,754.632,0.43342,0.35562,0.81577,0.99329,0.98431,0.9939,0.95557,0.28969,0.25113,0.78878,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,827.75,0.4215,0.34118,0.81254,0.99467,0.98454,0.99391,0.96057,0.27203,0.24166,0.78226,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,900.868,0.41078,0.32869,0.81017,0.99506,0.98493,0.99399,0.96476,0.25584,0.22913,0.78053,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,973.972,0.40324,0.31907,0.80881,0.99433,0.98606,0.99426,0.96704,0.25791,0.22559,0.77942,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1050.99,0.39558,0.31206,0.80758,0.99491,0.98658,0.99432,0.97174,0.24004,0.21785,0.77668,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1124.21,0.388,0.30277,0.80562,0.99616,0.9853,0.99423,0.96937,0.24776,0.21365,0.77779,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1197.35,0.38091,0.29632,0.8042,0.99482,0.9872,0.99455,0.97285,0.23478,0.20837,0.77413,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1270.51,0.37664,0.29032,0.804,0.99474,0.988,0.99468,0.9707,0.24281,0.21009,0.77689,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1343.72,0.37166,0.28748,0.80319,0.99606,0.98649,0.99428,0.97468,0.22909,0.20105,0.77472,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1416.86,0.36772,0.28337,0.80242,0.99592,0.98782,0.99445,0.97406,0.23827,0.20219,0.77405,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
