epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,44.8692,1.38283,1.46454,0.87088,0.69337,0.26456,0.27767,0.19266,1.07016,1.39663,0.96426,0.00014496,0.00014496,0.00014496
43,45.7999,1.44765,1.49909,0.88211,0.69093,0.25571,0.28183,0.19794,1.0579,1.38649,0.96305,0.000142545,0.000142545,0.000142545
44,46.7928,1.473,1.42815,0.88085,0.69099,0.25725,0.28614,0.20235,1.04322,1.33426,0.96226,0.000140129,0.000140129,0.000140129
45,47.7403,1.57983,1.51842,0.88751,0.68915,0.25789,0.28686,0.20219,1.06577,1.29397,0.96382,0.000137714,0.000137714,0.000137714
46,48.7444,1.52051,1.48748,0.88565,0.66562,0.25071,0.28802,0.20036,1.07599,1.26919,0.96926,0.000135298,0.000135298,0.000135298
47,49.8537,1.53158,1.47024,0.8796,0.65964,0.26217,0.29713,0.20627,1.0631,1.25725,0.96899,0.000132882,0.000132882,0.000132882
48,50.8811,1.47015,1.43188,0.87872,0.65825,0.29382,0.30325,0.21479,1.04891,1.22624,0.96339,0.000130467,0.000130467,0.000130467
49,51.8043,1.54961,1.44852,0.88535,0.56617,0.31147,0.30334,0.21483,1.03756,1.21246,0.96149,0.000128051,0.000128051,0.000128051
50,52.798,1.54302,1.41015,0.87692,0.60243,0.31304,0.30249,0.21036,1.05313,1.21177,0.96328,0.000125636,0.000125636,0.000125636
51,53.6969,1.41681,1.30395,0.87202,0.60715,0.3146,0.30484,0.21203,1.06766,1.2201,0.96474,0.00012322,0.00012322,0.00012322
52,54.6152,1.35571,1.26739,0.8727,0.63414,0.32901,0.31791,0.22729,0.99664,1.20618,0.95682,0.000120804,0.000120804,0.000120804
53,55.5549,1.42802,1.27113,0.87132,0.64724,0.32825,0.32592,0.23048,0.984,1.18414,0.95459,0.000118389,0.000118389,0.000118389
54,56.5395,1.51784,1.27367,0.87237,0.68196,0.31907,0.33396,0.23549,1.00098,1.12422,0.95416,0.000115973,0.000115973,0.000115973
55,57.4915,1.43652,1.34091,0.86522,0.63984,0.33031,0.33974,0.23621,1.01739,1.11988,0.95646,0.000113558,0.000113558,0.000113558
56,58.4346,1.36733,1.19778,0.86872,0.73096,0.3049,0.35196,0.25083,1.01901,1.12552,0.95658,0.000111142,0.000111142,0.000111142
57,59.3739,1.46118,1.31299,0.8693,0.69777,0.31703,0.35287,0.24747,1.03753,1.14397,0.95655,0.000108726,0.000108726,0.000108726
58,60.2937,1.64018,1.36564,0.88927,0.655,0.34081,0.35735,0.2477,1.01674,1.14439,0.95627,0.000106311,0.000106311,0.000106311
59,61.191,1.45323,1.24006,0.87095,0.65068,0.33687,0.35187,0.24053,1.0086,1.14031,0.95796,0.000103895,0.000103895,0.000103895
60,62.176,1.38888,1.17381,0.87033,0.63737,0.33612,0.35495,0.2459,1.0137,1.11585,0.95901,0.00010148,0.00010148,0.00010148
61,63.0752,1.35453,1.2095,0.86979,0.61444,0.34835,0.35903,0.25151,0.99306,1.11649,0.95675,9.9064e-05,9.9064e-05,9.9064e-05
62,64.0593,1.36148,1.24898,0.86701,0.62607,0.35566,0.36227,0.25436,0.99258,1.1106,0.95328,9.66484e-05,9.66484e-05,9.66484e-05
63,64.9768,1.37175,1.24428,0.86717,0.62971,0.35074,0.36483,0.25603,0.98147,1.10843,0.95202,9.42328e-05,9.42328e-05,9.42328e-05
64,65.9147,1.42041,1.18224,0.86662,0.629,0.34713,0.36706,0.25136,0.97959,1.11194,0.95316,9.18172e-05,9.18172e-05,9.18172e-05
65,66.8376,1.42081,1.20387,0.87684,0.63347,0.35678,0.37058,0.25316,0.99862,1.11232,0.95538,8.94016e-05,8.94016e-05,8.94016e-05
66,67.8082,1.34996,1.16716,0.86838,0.62842,0.35338,0.37703,0.26148,0.9947,1.11476,0.95543,8.6986e-05,8.6986e-05,8.6986e-05
67,68.7378,1.27518,1.1551,0.86739,0.6316,0.35722,0.38523,0.26887,0.98053,1.12819,0.95461,8.45704e-05,8.45704e-05,8.45704e-05
68,69.6818,1.44767,1.24206,0.87171,0.63298,0.36508,0.39289,0.27285,0.96829,1.11486,0.95285,8.21548e-05,8.21548e-05,8.21548e-05
69,71.9238,1.43464,1.18758,0.86697,0.63678,0.35118,0.39325,0.27019,0.96948,1.10561,0.95281,7.97392e-05,7.97392e-05,7.97392e-05
70,72.8587,1.38285,1.17496,0.8666,0.65197,0.36226,0.39134,0.26803,0.97321,1.09563,0.95473,7.73236e-05,7.73236e-05,7.73236e-05
71,73.7422,1.35981,1.13609,0.87232,0.65709,0.36614,0.39545,0.27531,0.96703,1.08504,0.95521,7.4908e-05,7.4908e-05,7.4908e-05
72,74.7411,1.31781,1.08865,0.85954,0.66789,0.36679,0.39987,0.27775,0.95844,1.04707,0.95299,7.24924e-05,7.24924e-05,7.24924e-05
73,75.6637,1.30249,1.16739,0.86671,0.66645,0.36505,0.39826,0.27795,0.95758,1.04878,0.95325,7.00768e-05,7.00768e-05,7.00768e-05
