epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.7992,2.18462,5.31133,1.57754,0,0,0,0,2.00754,5.19306,1.50012,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004
2,14.8058,1.95787,5.29631,1.48973,0,0,0,0,1.75705,5.18715,1.32165,0.00269997,0.000899991,0.00269997,0.000899991,0.00269997,0.000899991,0.00269997,0.000899991
3,17.283,1.58702,5.20237,1.2546,0,0,0,0,1.10605,inf,0.99094,0.00419992,0.00139997,0.00419992,0.00139997,0.00419992,0.00139997,0.00419992,0.00139997
4,19.5272,1.25289,4.76077,1.09534,0,0,0,0,0.89256,inf,0.90061,0.00569983,0.00189994,0.00569983,0.00189994,0.00569983,0.00189994,0.00569983,0.00189994
5,21.7442,1.06723,3.5542,1.01556,0.02966,0.01846,0.02556,0.02221,0.88467,4.0414,0.89628,0.00719971,0.0023999,0.00719971,0.0023999,0.00719971,0.0023999,0.00719971,0.0023999
6,24.0098,1.04786,2.51146,0.99244,0.03547,0.01769,0.02863,0.02334,0.97688,3.14088,0.92162,0.00869957,0.00289986,0.00869957,0.00289986,0.00869957,0.00289986,0.00869957,0.00289986
7,26.1053,0.91687,1.86466,0.95155,0.02526,0.06971,0.06411,0.05094,0.87014,3.01299,0.88349,0.0101994,0.0033998,0.0101994,0.0033998,0.0101994,0.0033998,0.0101994,0.0033998
8,28.5553,0.93323,1.74489,0.94498,0.02601,0.07021,0.06367,0.04939,0.97899,3.06581,0.92133,0.0116992,0.00389973,0.0116992,0.00389973,0.0116992,0.00389973,0.0116992,0.00389973
9,32.8987,0.9471,1.51176,0.93409,0.02824,0.07021,0.06516,0.04939,0.92798,3.15983,0.90109,0.013199,0.00439965,0.013199,0.00439965,0.013199,0.00439965,0.013199,0.00439965
10,35.1814,0.93152,1.33958,0.9331,0.11212,0.10528,0.11181,0.08522,0.78802,3.55658,0.83724,0.0146987,0.00489956,0.0146987,0.00489956,0.0146987,0.00489956,0.0146987,0.00489956
11,37.0612,0.88076,1.28353,0.92881,0.15443,0.1999,0.18672,0.14248,0.88292,3.16461,0.85893,0.0161984,0.00539947,0.0161984,0.00539947,0.0161984,0.00539947,0.0161984,0.00539947
12,39.1092,0.96523,1.15947,0.93164,0.09992,0.24572,0.2089,0.16187,0.80967,3.00637,0.85426,0.0176981,0.00589936,0.0176981,0.00589936,0.0176981,0.00589936,0.0176981,0.00589936
13,40.9358,0.96138,1.13546,0.93293,0.12156,0.2624,0.23115,0.17635,0.80275,3.1114,0.84706,0.0191977,0.00639924,0.0191977,0.00639924,0.0191977,0.00639924,0.0191977,0.00639924
14,42.8405,0.99658,1.10811,0.93379,0.17774,0.32567,0.29094,0.22437,0.80948,2.97337,0.84182,0.0206973,0.00689911,0.0206973,0.00689911,0.0206973,0.00689911,0.0206973,0.00689911
15,44.5912,0.93346,1.07127,0.94199,0.18207,0.38354,0.32105,0.24552,0.90855,2.90374,0.87219,0.0221969,0.00739897,0.0221969,0.00739897,0.0221969,0.00739897,0.0221969,0.00739897
16,46.4448,0.932,1.03508,0.94064,0.14334,0.44403,0.33353,0.2628,0.77519,2.8944,0.84578,0.0236965,0.00789883,0.0236965,0.00789883,0.0236965,0.00789883,0.0236965,0.00789883
