epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.88304,3.36219,5.42781,1.67993,0,0,0,0,3.05615,5.32805,1.36352,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,4.71695,2.79934,5.35387,1.29827,0,0,0,0,2.70969,5.32133,1.22141,0.00569994,0.00189998,0.00569994,0.00189998,0.00569994,0.00189998,0.00569994,0.00189998
3,6.41989,2.46703,5.04064,1.09931,0,0,0,0,2.20169,5.1736,1.1418,0.00869983,0.00289994,0.00869983,0.00289994,0.00869983,0.00289994,0.00869983,0.00289994
4,8.37703,2.20984,4.226,1.02443,0.01609,0.02131,0.01747,0.0067,2.21035,3.41608,1.13667,0.0116997,0.00389988,0.0116997,0.00389988,0.0116997,0.00389988,0.0116997,0.00389988
5,10.2366,2.0904,3.22518,1.00293,0.05359,0.02439,0.03687,0.01596,1.79696,2.31822,1.07156,0.0146994,0.00489981,0.0146994,0.00489981,0.0146994,0.00489981,0.0146994,0.00489981
6,12.0171,2.26352,2.70447,1.02238,0.0404,0.04378,0.04584,0.01696,1.9019,2.00556,1.073,0.0176991,0.00589971,0.0176991,0.00589971,0.0176991,0.00589971,0.0176991,0.00589971
7,13.6399,2.1714,2.45083,0.99836,0.08743,0.053,0.05395,0.03072,1.565,2.33219,1.03756,0.0206988,0.00689959,0.0206988,0.00689959,0.0206988,0.00689959,0.0206988,0.00689959
8,15.1264,1.96136,2.30257,0.98533,0.08635,0.05199,0.07383,0.04456,1.70995,2.28551,1.04768,0.0236984,0.00789945,0.0236984,0.00789945,0.0236984,0.00789945,0.0236984,0.00789945
9,16.7133,2.11232,2.20374,0.98349,0.10094,0.13739,0.1328,0.07972,1.76082,2.21196,1.06019,0.0266979,0.0088993,0.0266979,0.0088993,0.0266979,0.0088993,0.0266979,0.0088993
10,19.7524,2.36697,2.18529,1.02083,0.06365,0.15589,0.11037,0.05675,1.91557,2.17609,1.05885,0.0296974,0.00989912,0.0296974,0.00989912,0.0296974,0.00989912,0.0296974,0.00989912
11,21.0965,2.07304,1.97367,0.96087,0.44634,0.12735,0.12619,0.05913,2.28148,1.84588,1.09478,0.029997,0.00999901,0.029997,0.00999901,0.029997,0.00999901,0.029997,0.00999901
12,22.6493,2.12359,1.9411,0.97735,0.41317,0.1181,0.15332,0.08897,1.87404,1.89752,1.07631,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891,0.0299967,0.00999891
13,24.0226,1.84218,1.82798,0.93279,0.53482,0.17366,0.17773,0.09927,2.0034,1.7159,1.08159,0.0299964,0.00999881,0.0299964,0.00999881,0.0299964,0.00999881,0.0299964,0.00999881
